order,region,M,ci_lo,ci_hi
normal,K,0.5121,0.45679,0.55972
normal,S,0.99596,0.98528,1.00511
normal,I,0.00536,-0.02103,0.03777
normal,R,0.96465,0.95943,0.97105
normal,ALL(anchor),1.0,1.0,1.0
normal,Sigma,2.47807,2.41999,2.5251
flipped,K,0.51057,0.44551,0.6034
flipped,S,0.99698,0.97461,1.01576
flipped,I,-0.16439,-0.27499,-0.11091
flipped,R,0.98787,0.97744,1.00595
flipped,ALL(anchor),1.0,1.0,1.0
flipped,Sigma,2.33103,2.23441,2.40022
delta,Sigma,-0.14704,-0.23219,-0.07744
delta,K,-0.00153,-0.07126,0.10014
delta,S,0.00101,-0.0207,0.02072
delta,I,-0.16975,-0.28703,-0.10791
delta,R,0.02322,0.01372,0.03942
