layer,head,pooled_blk_r,pooled_imp_r,blk_r_p,blk_lo_p,blk_hi_p,blk_r_m,blk_lo_m,blk_hi_m,imp_r_p,imp_r_m,sd_blk_p,sd_blk_m,mu_blk_p,mu_blk_m,pass_blk_010,pass_imp_010,surv_blk_att01,surv_imp_att01
4,17,0.318830,0.343650,0.340215,0.250204,0.438611,0.232535,0.139453,0.328599,0.125146,0.372506,0.009109,0.008974,-0.024965,-0.024953,True,True,True,True
18,6,-0.341317,-0.181283,-0.305631,-0.453626,-0.151524,-0.216169,-0.355614,-0.049823,-0.138525,-0.114315,0.010191,0.012546,0.012551,0.015262,True,False,True,True
11,22,-0.340440,0.120789,-0.238558,-0.394801,-0.093360,-0.284223,-0.380805,-0.180320,-0.205742,-0.037542,0.058490,0.059735,0.031390,0.037004,True,False,True,True
24,11,-0.339904,0.059000,-0.319362,-0.474810,-0.175344,-0.232423,-0.338214,-0.120851,0.064848,-0.311297,0.007755,0.007928,0.003608,0.003414,True,False,True,False
28,3,-0.337105,0.041743,-0.417597,-0.521127,-0.307629,-0.119188,-0.232539,-0.015735,-0.251838,-0.012967,0.040150,0.040970,0.020598,0.024955,True,False,True,False
14,26,0.274528,0.336850,-0.038288,-0.130789,0.056518,0.289302,0.197699,0.385363,0.029716,0.428993,0.000973,0.001054,-0.001529,-0.001627,False,False,True,True
27,26,-0.336429,-0.017294,-0.448738,-0.532772,-0.361965,-0.047429,-0.134711,0.043678,-0.100882,-0.015173,0.005809,0.005501,0.004698,0.006646,False,False,True,False
23,26,-0.336210,0.014697,-0.370844,-0.474635,-0.254377,-0.181746,-0.283992,-0.078031,-0.037099,-0.169715,0.026530,0.029496,0.012991,0.013300,True,False,True,False
14,11,0.295115,0.335684,0.206915,0.121953,0.295680,0.188954,0.080884,0.294754,0.172456,0.300246,0.034459,0.037961,-0.082716,-0.087473,True,True,True,True
28,9,0.289132,0.335652,0.230324,0.093651,0.351236,0.161529,0.042964,0.280099,0.217605,0.282129,0.015095,0.013729,-0.041816,-0.038724,True,True,True,True
24,31,0.333482,0.281639,0.302236,0.227581,0.396967,0.191513,0.066610,0.308664,0.058491,0.334276,0.012262,0.010898,-0.008507,-0.007995,True,False,True,True
24,13,0.332919,0.261073,0.279292,0.198724,0.359638,0.201029,0.091367,0.298727,0.024434,0.283760,0.020238,0.018649,-0.024418,-0.019932,True,False,True,True
