layer,M_cross_raw,M_floor_raw,net,net_ci_lo,net_ci_hi,net_minus_MS,netmS_ci_lo,netmS_ci_hi,is_L31_anchor
8,-0.0016,-0.00052,-0.00108,-0.00709,0.00457,-0.46274,-0.56149,-0.34564,
12,-0.00804,-0.00407,-0.00397,-0.0138,0.00503,-0.46562,-0.56343,-0.3487,
16,0.08516,0.03405,0.05111,0.02462,0.07553,-0.41054,-0.50818,-0.2985,
20,0.30846,0.06625,0.24221,0.20198,0.27877,-0.21945,-0.32187,-0.10867,
24,0.68143,0.09052,0.5909,0.53516,0.64326,0.12925,0.04255,0.23078,
28,0.94263,0.08444,0.85819,0.80477,0.91415,0.39654,0.30708,0.51139,
31,0.96518,0.09148,0.8737,0.80346,0.93268,0.41204,0.33517,0.49966,YES
span_baseline(S),0.46165,,,0.3454,0.55972,,,,
combined(msp+genL16),0.5978,0.0488,0.549,0.40498,0.66849,,,,
