cell,M,ci_lo,ci_hi,dY,mass
A_sys,-0.93041,-1.26196,-0.72364,-7.21854,0.6263
A_usr,1.89869,1.69524,2.22469,14.73097,0.616
B_sys,-0.06907,-0.2018,0.02062,-0.53588,0.3465
B_usr,0.29174,0.21601,0.35166,2.26343,0.6978
EXCH,0.46165,0.34121,0.5632,3.58174,0.6378
CONSTR,0.99662,0.98557,1.00614,7.73224,0.6226
GAP_additivity,0.03171,0.01934,0.04664,,
