arm,n_heads,M_att,ci_lo,ci_hi,ci_excl0,M_att_pos,M_att_neg,delivered_swap_tv,match_ok,floor_compliance,VOID
survivor_matched,25,0.00347,0.00153,0.00545,True,0.00249,0.00536,0.0442,True,0.9833,False
bookkeeper_matched,25,-0.00401,-0.00974,0.00056,False,-0.0091,0.00585,0.0448,True,0.9833,False
random_matched,25,0.00805,0.00616,0.0104,True,0.00298,0.01788,0.0455,True,0.9833,False
survivor_imp_matched,10,0.00071,-0.00031,0.00172,False,-0.00115,0.00432,0.0459,True,0.9833,False
defeater_matched,110,-0.02644,-0.03474,-0.02098,True,-0.02351,-0.03213,0.0462,True,0.9833,False
