arm,dY_sys,dY_usr,raw_asym,frac_of_base,B,mass
BASE,-7.2085,14.7568,21.9653,1.0,-3.8998,0.627
PM,-11.8594,8.7172,20.5767,0.9368,1.324,0.65
STRIP,-5.9091,19.5753,25.4844,1.1602,-7.0982,0.787
JOINT,-9.6536,10.1987,19.8523,0.9038,-0.7214,0.705
